Entity,Code,Year,Global plastics production (million tonnes)
World,OWID_WRL,1990,120000000
World,OWID_WRL,1991,124000000
World,OWID_WRL,1992,132000000
World,OWID_WRL,1993,137000000
World,OWID_WRL,1994,151000000
World,OWID_WRL,1995,156000000
World,OWID_WRL,1996,168000000
World,OWID_WRL,1997,180000000
World,OWID_WRL,1998,188000000
World,OWID_WRL,1999,202000000
World,OWID_WRL,2000,213000000
World,OWID_WRL,2001,218000000
World,OWID_WRL,2002,231000000
World,OWID_WRL,2003,241000000
World,OWID_WRL,2004,256000000
World,OWID_WRL,2005,263000000
World,OWID_WRL,2006,280000000
World,OWID_WRL,2007,295000000
World,OWID_WRL,2008,281000000
World,OWID_WRL,2009,288000000
World,OWID_WRL,2010,313000000
World,OWID_WRL,2011,325000000
World,OWID_WRL,2012,338000000
World,OWID_WRL,2013,352000000
World,OWID_WRL,2014,367000000
World,OWID_WRL,2015,381000000
